step,orbit_index,timestamp_s,orbit_timestamp_s,timestamp_utc,sat_x_m,sat_y_m,sat_z_m,sat_radius_m,node_population_ratio,demd_population_ratio,calculated_nodes,calculated_demodulators
0,2896,0.0,0.0,2026-04-20T06:08:52.504863+00:00,0.0,0.0,593029.0,6964029.0,1e-07,1e-07,237,237
1,2897,1.0,1.0,2026-04-20T06:08:53.504863+00:00,7569.297165777477,-1.8910717224216416e-14,593024.8905226113,6964029.004109478,1e-07,1e-07,237,237
2,2898,2.0,2.0,2026-04-20T06:08:54.504863+00:00,15138.585398262036,-9.49257051836802e-15,593012.5620953068,6964029.016437906,1e-07,1e-07,237,237
3,2899,3.0,3.0,2026-04-20T06:08:55.504863+00:00,22707.85576417138,-1.0235250369007583e-13,592992.0147326812,6964029.036985268,1e-07,1e-07,237,237
4,2900,4.0,4.0,2026-04-20T06:08:56.504863+00:00,30277.099330244528,6.51638944439566e-14,592963.2484590579,6964029.065751541,1e-07,1e-07,237,237
5,2901,5.0,5.0,2026-04-20T06:08:57.504863+00:00,37846.30716325236,-1.9322974037152016e-13,592926.2633084869,6964029.102736691,1e-07,1e-07,237,237
6,2902,6.0,6.0,2026-04-20T06:08:58.504863+00:00,45415.47033000834,1.0165325224771138e-13,592881.0593247516,6964029.147940675,1e-07,1e-07,237,237
7,2903,7.0,7.0,2026-04-20T06:08:59.504863+00:00,52984.57989737913,-3.9437461787292047e-13,592827.6365613611,6964029.201363439,1e-07,1e-07,237,237
8,2904,8.0,8.0,2026-04-20T06:09:00.504863+00:00,60553.62693229519,2.370397046294005e-14,592765.9950815532,6964029.263004919,1e-07,1e-07,237,237
9,2905,9.0,9.0,2026-04-20T06:09:01.504863+00:00,68122.60250176147,-8.123988244332474e-13,592696.1349582952,6964029.332865041,1e-07,1e-07,237,237
10,2906,10.0,10.0,2026-04-20T06:09:02.504863+00:00,75691.49767286799,4.0916068509997e-14,592618.0562742855,6964029.410943726,1e-07,1e-07,237,237
